PpCode,DmCode,VaCode,Estimate,LSE,LowerCIB,UpperCIB,Flag
P002,D007,R009,147.3,4.7,142.6,152,
P002,D007,R010,472,13.3,458.7,485.3,
P002,D007,R011,180.4,6.3,174.1,186.7,
P002,D007,R012,75.8,2.8,73,78.6,
P002,D007,R013,3695,10.4,3684.6,3705.4,
P002,D008,U001,533.1,58.2,474.9,591.3,
P002,D008,U002,3161.9,59.8,3102.1,3221.7,
P002,D008,U003,3695,10.4,3684.6,3705.4,
P003,D001,G001,1895.2,2.9,1892.3,1898.1,
P003,D001,G002,1960.8,3.3,1957.5,1964.1,
P003,D001,G003,8.5,2.5,6,11,
P003,D001,G004,3864.5,0,3864.5,3864.5,
P003,D002,A001,447.3,0,447.3,447.3,
P003,D002,A002,371.8,0,371.8,371.8,
P003,D002,A003,375,0,375,375,
P003,D002,A004,334.6,0,334.6,334.6,
P003,D002,A005,307.8,0,307.8,307.8,
P003,D002,A006,324.3,0,324.3,324.3,
P003,D002,A007,325.2,0,325.2,325.2,
P003,D002,A008,321.9,0,321.9,321.9,
P003,D002,A009,290.7,0,290.7,290.7,
P003,D002,A010,766,0,766,766,
P003,D002,A011,3864.5,0,3864.5,3864.5,
P003,D003,E001,2679.6,39.9,2639.7,2719.5,
P003,D003,E002,541.6,4.6,537,546.2,
P003,D003,E003,258.2,20.4,237.8,278.6,
P003,D003,E004,653.8,37.9,615.9,691.7,
P003,D003,E005,58.4,9.4,49,67.8,
P003,D003,E006,57.6,6.7,50.9,64.3,
P003,D003,E007,3864.5,0,3864.5,3864.5,
P003,D004,Q001,724.1,23.6,700.5,747.7,
P003,D004,Q002,850.4,26,824.4,876.4,
P003,D004,Q003,400.6,19.8,380.8,420.4,
P003,D004,Q004,423.1,16.9,406.2,440,
P003,D004,Q005,582.9,22.7,560.2,605.6,
P003,D004,Q006,264.8,12.9,251.9,277.7,
P003,D004,Q007,175.1,12.2,162.9,187.3,
P003,D004,Q008,28.8,4.4,24.4,33.2,
P003,D004,Q009,141.7,10.2,131.5,151.9,
P003,D004,Q010,11.2,2.9,8.3,14.1,
P003,D004,Q011,168.6,14.4,154.2,183,
P003,D004,Q012,3864.5,0,3864.5,3864.5,
P003,D005,L001,2532.9,20.3,2512.6,2553.2,
P003,D005,L002,115.9,7.3,108.6,123.2,
P003,D005,L003,1082.3,18.2,1064.1,1100.5,
P003,D005,L004,3864.5,0,3864.5,3864.5,
P003,D006,B001,465.3,16.4,448.9,481.7,
P003,D006,B002,3399.2,16.4,3382.8,3415.6,
P003,D006,B003,3864.5,0,3864.5,3864.5,
P003,D007,R001,146.2,5.1,141.1,151.3,
P003,D007,R002,1297.3,12.9,1284.4,1310.2,
