PpCode,DmCode,VaCode,Estimate,LSE,LowerCIB,UpperCIB,Flag
P001,D001,G001,23954,2250,21704,26204,
P001,D001,G002,22897,1574,21323,24471,
P001,D001,G003,21527,8521,13006,30048,
P001,D001,G004,23228,1446,21782,24674,
P001,D002,A001,28020,2616,25404,30636,
P001,D002,A002,27058,3282,23776,30340,
P001,D002,A003,22114,2810,19304,24924,
P001,D002,A004,26345,3245,23100,29590,
P001,D002,A005,26068,3781,22287,29849,
P001,D002,A006,17352,4079,13273,21431,
P001,D002,A007,18235,3009,15226,21244,
P001,D002,A008,16667,3498,13169,20165,
P001,D002,A009,13618,4197,9421,17815,
P001,D002,A010,10852,4452,6400,15304,
P001,D002,A011,23228,1446,21782,24674,
P001,D003,E001,23359,1633,21726,24992,
P001,D003,E002,20610,2581,18029,23191,
P001,D003,E003,23785,4540,19245,28325,
P001,D003,E004,25543,3927,21616,29470,
P001,D003,E005,27199,7220,19979,34419,
P001,D003,E006,17411,8095,9316,25506,
P001,D003,E007,23228,1446,21782,24674,
P001,D004,Q001,17840,3202,14638,21042,
P001,D004,Q002,25565,2115,23450,27680,
P001,D004,Q003,20946,3342,17604,24288,
P001,D004,Q004,20028,3368,16660,23396,
P001,D004,Q005,24812,2667,22145,27479,
P001,D004,Q006,28877,5231,23646,34108,
P001,D004,Q007,22704,5145,17559,27849,
P001,D004,Q008,19809,6003,13806,25812,
P001,D004,Q009,21869,9268,12601,31137,
P001,D004,Q010,22954,12661,10293,35615,
P001,D004,Q011,24337,6499,17838,30836,
P001,D004,Q012,23228,1446,21782,24674,
P001,D005,L001,25427,1638,23789,27065,
P001,D005,L002,22220,3841,18379,26061,
P001,D005,L003,17126,1997,15129,19123,
P001,D005,L004,23228,1446,21782,24674,
P001,D006,B001,21802,1968,19834,23770,
P001,D006,B002,23545,1637,21908,25182,
P001,D006,B003,23228,1446,21782,24674,
P001,D007,R001,14529,5995,8534,20524,
P001,D007,R002,26812,2335,24477,29147,
P001,D007,R003,18546,3727,14819,22273,
P001,D007,R004,22932,6505,16427,29437,
P001,D007,R005,19810,4340,15470,24150,
P001,D007,R006,13895,4105,9790,18000,
P001,D007,R007,16457,3392,13065,19849,
P001,D007,R008,29482,5145,24337,34627,
P001,D007,R009,15516,4370,11146,19886,
