AgCode,PpCode,DmCode,VaCode,Estimate,LSE,LowerCIB,UpperCIB,Flag
A002,P001,D002,Q005,23.6,7.5,16.1,31.1,
A002,P001,D002,Q006,7.5,5.4,2.1,12.9,
A002,P001,D002,Q007,7.6,4.9,2.7,12.5,
A002,P001,D002,Q008,,,,,S
A002,P001,D002,Q009,,,,,S
A002,P001,D002,Q010,,,,,S
A002,P001,D002,Q011,,,,,S
A002,P001,D002,Q012,100,,,,NA
A002,P001,D003,L001,77,5.9,71.1,82.9,
A002,P001,D003,L002,3.9,2.3,1.6,6.2,
A002,P001,D003,L003,18.8,5.9,12.9,24.7,
A002,P001,D003,L004,100,,,,NA
A002,P001,D004,T001,25.6,8.7,16.9,34.3,
A002,P001,D004,T002,69.3,9,60.3,78.3,
A002,P001,D004,T003,5.1,4.5,0.6,9.6,
A002,P001,D004,T004,100,,,,NA
A002,P001,D005,B001,20.5,7.5,13,28,
A002,P001,D005,B002,79.5,7.5,72,87,
A002,P001,D005,B003,100,,,,NA
A002,P001,D006,R001,5.1,4.4,0.699999999999999,9.5,
A002,P001,D006,R002,33.3,10.4,22.9,43.7,
A002,P001,D006,R003,11.4,5.5,5.9,16.9,
A002,P001,D006,R004,7.1,7.6,-0.5,14.7,
A002,P001,D006,R005,2.6,2.4,0.2,5,
A002,P001,D006,R006,,,,,S
A002,P001,D006,R007,5.6,3.7,1.9,9.3,
A002,P001,D006,R008,17.2,11.4,5.8,28.6,
A002,P001,D006,R009,,,,,S
A002,P001,D006,R010,11.8,6.2,5.6,18,
A002,P001,D006,R011,2,1.7,0.3,3.7,
A002,P001,D006,R012,,,,,S
A002,P001,D006,R013,100,,,,NA
A002,P001,D007,U001,4.9,4.2,0.7,9.1,
A002,P001,D007,U002,95.1,4.2,90.9,99.3,
A002,P001,D007,U003,100,,,,NA
A002,P002,D001,E001,61.6,2.5,59.1,64.1,
A002,P002,D001,E002,18,1.6,16.4,19.6,
A002,P002,D001,E003,9.4,1.4,8,10.8,
A002,P002,D001,E004,23.5,2.5,21,26,
A002,P002,D001,E005,1.2,0.5,0.7,1.7,
A002,P002,D001,E006,1.3,0.6,0.7,1.9,
A002,P002,D001,E007,100,,,,NA
A002,P002,D002,Q001,13.5,1.6,11.9,15.1,
A002,P002,D002,Q002,23.2,2.1,21.1,25.3,
A002,P002,D002,Q003,9.6,1.5,8.1,11.1,
A002,P002,D002,Q004,9.7,1.5,8.2,11.2,
A002,P002,D002,Q005,21.6,2.1,19.5,23.7,
A002,P002,D002,Q006,8.6,1.4,7.2,10,
A002,P002,D002,Q007,5.2,1.3,3.9,6.5,
A002,P002,D002,Q008,,,,,S
A002,P002,D002,Q009,1.9,0.6,1.3,2.5,
A002,P002,D002,Q010,0.3,0.2,0.1,0.5,
A002,P002,D002,Q011,2.7,0.7,2,3.4,
A002,P002,D002,Q012,100,,,,NA
A002,P002,D003,L001,76,1.9,74.1,77.9,
A002,P002,D003,L002,3.8,0.9,2.9,4.7,
A002,P002,D003,L003,13.9,1.7,12.2,15.6,
A002,P002,D003,L004,100,,,,NA
A002,P002,D004,T001,38.5,2.9,35.6,41.4,
A002,P002,D004,T002,56.4,3,53.4,59.4,
A002,P002,D004,T003,5.1,1.1,4,6.2,
A002,P002,D004,T004,100,,,,NA
A002,P002,D005,B001,7.8,1,6.8,8.8,
A002,P002,D005,B002,92.2,1,91.2,93.2,
A002,P002,D005,B003,100,,,,NA
A002,P002,D006,R001,3.8,1.2,2.6,5,
A002,P002,D006,R002,35.6,3,32.6,38.6,
A002,P002,D006,R003,8.3,1.5,6.8,9.8,
A002,P002,D006,R004,5.1,1.1,4,6.2,
A002,P002,D006,R005,4.3,1,3.3,5.3,
A002,P002,D006,R006,1.5,0.6,0.9,2.1,
A002,P002,D006,R007,4.9,1,3.9,5.9,
A002,P002,D006,R008,12.1,2.1,10,14.2,
A002,P002,D006,R009,2.9,0.9,2,3.8,
A002,P002,D006,R010,15.5,1.9,13.6,17.4,
A002,P002,D006,R011,4.4,1.1,3.3,5.5,
A002,P002,D006,R012,1.5,0.5,1,2,
A002,P002,D006,R013,100,,,,NA
A002,P002,D007,U001,8.5,2.3,6.2,10.8,
A002,P002,D007,U002,91.5,2.3,89.2,93.8,
A002,P002,D007,U003,100,,,,NA
A003,P001,D001,E001,73.4,9.3,64.1,82.7,
A003,P001,D001,E002,13.6,4.7,8.9,18.3,
A003,P001,D001,E003,4.2,3.5,0.7,7.7,
A003,P001,D001,E004,15.4,7,8.4,22.4,
A003,P001,D001,E005,5,4.8,0.2,9.8,
A003,P001,D001,E006,,,,,S
A003,P001,D001,E007,100,,,,NA
A003,P001,D002,Q001,9.6,5,4.6,14.6,
A003,P001,D002,Q002,15.1,6.4,8.7,21.5,
A003,P001,D002,Q003,9.3,4.7,4.6,14,
A003,P001,D002,Q004,11,5.5,5.5,16.5,
A003,P001,D002,Q005,19.4,6.8,12.6,26.2,
A003,P001,D002,Q006,13.9,7.7,6.2,21.6,
A003,P001,D002,Q007,10.3,5.8,4.5,16.1,
A003,P001,D002,Q008,,,,,S
A003,P001,D002,Q009,4.9,5.5,-0.6,10.4,
A003,P001,D002,Q010,,,,,S
A003,P001,D002,Q011,5.5,3.3,2.2,8.8,
A003,P001,D002,Q012,100,,,,NA
A003,P001,D003,L001,79.2,7.1,72.1,86.3,
A003,P001,D003,L002,7.3,4.7,2.6,12,
A003,P001,D003,L003,13.5,6,7.5,19.5,
A003,P001,D003,L004,100,,,,NA
A003,P001,D004,T001,34.2,8.8,25.4,43,
A003,P001,D004,T002,56.9,9.4,47.5,66.3,
A003,P001,D004,T003,8.9,4.6,4.3,13.5,
A003,P001,D004,T004,100,,,,NA
A003,P001,D005,B001,10.3,4.8,5.5,15.1,
A003,P001,D005,B002,89.7,4.8,84.9,94.5,
A003,P001,D005,B003,100,,,,NA
A003,P001,D006,R001,2.7,2.5,0.2,5.2,
A003,P001,D006,R002,28.5,9.3,19.2,37.8,
A003,P001,D006,R003,11.5,5.8,5.7,17.3,
A003,P001,D006,R004,2.3,2.6,-0.3,4.9,
A003,P001,D006,R005,2.5,2,0.5,4.5,
A003,P001,D006,R006,,,,,S
A003,P001,D006,R007,5.3,3.8,1.5,9.1,
A003,P001,D006,R008,19.5,6.8,12.7,26.3,
A003,P001,D006,R009,4.4,4.2,0.2,8.6,
A003,P001,D006,R010,14.4,6.4,8,20.8,
A003,P001,D006,R011,5.9,4.2,1.7,10.1,
A003,P001,D006,R012,,,,,S
A003,P001,D006,R013,100,,,,NA
A003,P001,D007,U001,10,6,4,16,
A003,P001,D007,U002,90,6,84,96,
A003,P001,D007,U003,100,,,,NA
A003,P002,D001,E001,57.3,2.5,54.8,59.8,
A003,P002,D001,E002,14.6,1.5,13.1,16.1,
A003,P002,D001,E003,7,1.2,5.8,8.2,
A003,P002,D001,E004,28,2.7,25.3,30.7,
A003,P002,D001,E005,2.9,1.2,1.7,4.1,
A003,P002,D001,E006,1.5,0.6,0.9,2.1,
A003,P002,D001,E007,100,,,,NA
A003,P002,D002,Q001,11.2,1.1,10.1,12.3,
A003,P002,D002,Q002,17.3,1.5,15.8,18.8,
A003,P002,D002,Q003,11.9,1.4,10.5,13.3,
A003,P002,D002,Q004,10.7,1.5,9.2,12.2,
A003,P002,D002,Q005,22.5,1.7,20.8,24.2,
A003,P002,D002,Q006,9.7,1.4,8.3,11.1,
A003,P002,D002,Q007,6.4,1.4,5,7.8,
A003,P002,D002,Q008,0.8,0.4,0.4,1.2,
A003,P002,D002,Q009,2.4,0.8,1.6,3.2,
A003,P002,D002,Q010,0.5,0.5,0,1,
A003,P002,D002,Q011,4.3,1.1,3.2,5.4,
A003,P002,D002,Q012,100,,,,NA
A003,P002,D003,L001,79.5,1.8,77.7,81.3,
A003,P002,D003,L002,2.8,0.6,2.2,3.4,
A003,P002,D003,L003,14.1,1.5,12.6,15.6,
A003,P002,D003,L004,100,,,,NA
A003,P002,D004,T001,44.2,2.8,41.4,47,
A003,P002,D004,T002,49,2.6,46.4,51.6,
A003,P002,D004,T003,6.8,1.4,5.4,8.2,
A003,P002,D004,T004,100,,,,NA
A003,P002,D005,B001,8,1.2,6.8,9.2,
A003,P002,D005,B002,92,1.2,90.8,93.2,
A003,P002,D005,B003,100,,,,NA
A003,P002,D006,R001,3.2,0.8,2.4,4,
A003,P002,D006,R002,36.5,3,33.5,39.5,
A003,P002,D006,R003,9.3,1.3,8,10.6,
A003,P002,D006,R004,6.5,1.5,5,8,
A003,P002,D006,R005,3.4,0.7,2.7,4.1,
A003,P002,D006,R006,1.7,0.5,1.2,2.2,
A003,P002,D006,R007,4.4,0.9,3.5,5.3,
A003,P002,D006,R008,10.6,1.5,9.1,12.1,
A003,P002,D006,R009,3.2,0.9,2.3,4.1,
A003,P002,D006,R010,15.3,3.4,11.9,18.7,
A003,P002,D006,R011,4.4,1.1,3.3,5.5,
A003,P002,D006,R012,1.4,0.5,0.9,1.9,
A003,P002,D006,R013,100,,,,NA
A003,P002,D007,U001,9.1,1.9,7.2,11,
A003,P002,D007,U002,90.9,1.9,89,92.8,
A003,P002,D007,U003,100,,,,NA
A004,P001,D001,E001,67.6,10.5,57.1,78.1,
A004,P001,D001,E002,19.6,9,10.6,28.6,
A004,P001,D001,E003,9.7,6.3,3.4,16,
A004,P001,D001,E004,19.7,9,10.7,28.7,
A004,P001,D001,E005,,,,,S
A004,P001,D001,E006,,,,,S
A004,P001,D001,E007,100,,,,NA
A004,P001,D002,Q001,9.4,6.3,3.1,15.7,
A004,P001,D002,Q002,15,7.8,7.2,22.8,
A004,P001,D002,Q003,6.8,4.9,1.9,11.7,
A004,P001,D002,Q004,13.8,7.3,6.5,21.1,
A004,P001,D002,Q005,17.6,8,9.6,25.6,
A004,P001,D002,Q006,10.8,7.2,3.6,18,
A004,P001,D002,Q007,8.9,6,2.9,14.9,
A004,P001,D002,Q008,,,,,S
A004,P001,D002,Q009,,,,,S
A004,P001,D002,Q010,,,,,S
A004,P001,D002,Q011,13.2,11.3,1.9,24.5,
A004,P001,D002,Q012,100,,,,NA
A004,P001,D003,L001,81.3,9.3,72,90.6,
A004,P001,D003,L002,,,,,S
A004,P001,D003,L003,17.5,9,8.5,26.5,
A004,P001,D003,L004,100,,,,NA
A004,P001,D004,T001,33,10.9,22.1,43.9,
A004,P001,D004,T002,59.6,11.4,48.2,71,
A004,P001,D004,T003,7.4,6.8,0.600000000000001,14.2,
A004,P001,D004,T004,100,,,,NA
A004,P001,D005,B001,13.6,7,6.6,20.6,
A004,P001,D005,B002,86.4,7,79.4,93.4,
A004,P001,D005,B003,100,,,,NA
A004,P001,D006,R001,2.3,2.3,0,4.6,
A004,P001,D006,R002,42.2,12.6,29.6,54.8,
A004,P001,D006,R003,7.2,6.4,0.8,13.6,
A004,P001,D006,R004,,,,,S
A004,P001,D006,R005,4.3,4.4,-0.100000000000001,8.7,
A004,P001,D006,R006,,,,,S
A004,P001,D006,R007,3.5,3.1,0.4,6.6,
A004,P001,D006,R008,14.8,7.9,6.9,22.7,
A004,P001,D006,R009,,,,,S
A004,P001,D006,R010,10.5,6.9,3.6,17.4,
A004,P001,D006,R011,10.4,8.2,2.2,18.6,
A004,P001,D006,R012,3.1,2.9,0.2,6,
A004,P001,D006,R013,100,,,,NA
A004,P001,D007,U001,7.8,7.4,0.399999999999999,15.2,
A004,P001,D007,U002,92.2,7.4,84.8,99.6,
A004,P001,D007,U003,100,,,,NA
A004,P002,D001,E001,57.1,2.8,54.3,59.9,
A004,P002,D001,E002,11.7,1.2,10.5,12.9,
A004,P002,D001,E003,7.5,1.3,6.2,8.8,
A004,P002,D001,E004,28.9,2.8,26.1,31.7,
A004,P002,D001,E005,3.5,1,2.5,4.5,
A004,P002,D001,E006,1,0.5,0.5,1.5,
A004,P002,D001,E007,100,,,,NA
A004,P002,D002,Q001,13.4,1.6,11.8,15,
A004,P002,D002,Q002,13.1,1.6,11.5,14.7,
A004,P002,D002,Q003,10.6,1.4,9.2,12,
A004,P002,D002,Q004,11.5,1.6,9.9,13.1,
A004,P002,D002,Q005,22.4,2,20.4,24.4,
A004,P002,D002,Q006,11.2,1.5,9.7,12.7,
A004,P002,D002,Q007,5.7,1,4.7,6.7,
A004,P002,D002,Q008,1,0.5,0.5,1.5,
A004,P002,D002,Q009,3.1,0.8,2.3,3.9,
A004,P002,D002,Q010,,,,,S
A004,P002,D002,Q011,5.9,1.1,4.8,7,
A004,P002,D002,Q012,100,,,,NA
A004,P002,D003,L001,82.3,1.9,80.4,84.2,
A004,P002,D003,L002,2.7,0.8,1.9,3.5,
A004,P002,D003,L003,12.8,1.5,11.3,14.3,
A004,P002,D003,L004,100,,,,NA
A004,P002,D004,T001,49.4,2.9,46.5,52.3,
A004,P002,D004,T002,42.4,2.5,39.9,44.9,
A004,P002,D004,T003,8,1.5,6.5,9.5,
A004,P002,D004,T004,100,,,,NA
A004,P002,D005,B001,6.6,1.3,5.3,7.9,
A004,P002,D005,B002,93.4,1.3,92.1,94.7,
A004,P002,D005,B003,100,,,,NA
A004,P002,D006,R001,3.3,0.8,2.5,4.1,
A004,P002,D006,R002,38.4,2.7,35.7,41.1,
A004,P002,D006,R003,9.8,1.4,8.4,11.2,
A004,P002,D006,R004,6.5,1.1,5.4,7.6,
A004,P002,D006,R005,4,0.8,3.2,4.8,
A004,P002,D006,R006,2.1,0.6,1.5,2.7,
A004,P002,D006,R007,3.9,0.9,3,4.8,
A004,P002,D006,R008,10.9,1.3,9.6,12.2,
A004,P002,D006,R009,2.6,0.8,1.8,3.4,
