PpCode,DmCode,VaCode,Estimate,LSE,LowerCIB,UpperCIB,Flag
P001,D001,Q001,14.4,2.5,11.9,16.9,
P001,D001,Q002,21.7,2.8,18.9,24.5,
P001,D001,Q003,22.7,3.4,19.3,26.1,
P001,D001,Q004,14.6,2.5,12.1,17.1,
P001,D001,Q005,19.3,3.1,16.2,22.4,
P001,D002,L001,64.3,3.2,61.1,67.5,
P001,D002,L002,5.3,1.6,3.7,6.9,
P001,D002,L003,30.2,3.1,27.1,33.3,
P001,D003,B001,15.9,2.5,13.4,18.4,
P001,D003,B002,84.1,2.5,81.6,86.6,
P001,D004,W001,18.4,2.7,15.7,21.1,
P001,D004,W002,18.5,2.4,16.1,20.9,
P001,D004,W003,8.6,2.0,6.6,10.6,
P001,D004,W004,27.6,3.2,24.4,30.8,
P001,D004,W005,11.8,2.6,9.2,14.4,
P001,D005,S001,7.5,1.9,5.6,9.4,
P001,D005,S002,11.1,1.9,9.2,13.0,
P001,D005,S003,11.1,2.2,8.9,13.3,
P001,D005,S004,30.4,3.6,26.8,34.0,
P001,D005,S005,25,3.4,21.6,28.4,
P001,D006,U001,14.2,3.9,10.3,18.1,
P001,D006,U002,85.8,3.9,81.9,89.7,
P002,D001,Q001,19.3,0.6,18.7,19.9,
P002,D001,Q002,22.7,0.7,22.0,23.4,
P002,D001,Q003,21.7,0.6,21.1,22.3,
P002,D001,Q004,15.5,0.6,14.9,16.1,
P002,D001,Q005,12.2,0.5,11.7,12.7,
P002,D002,L001,65.6,0.6,65.0,66.2,
P002,D002,L002,2.9,0.2,2.7,3.1,
P002,D002,L003,27.9,0.5,27.4,28.4,
P002,D003,B001,11.7,0.4,11.3,12.1,
P002,D003,B002,88.3,0.4,87.9,88.7,
P002,D004,W001,8.9,0.4,8.5,9.3,
P002,D004,W002,13.2,0.4,12.8,13.6,
P002,D004,W003,8.6,0.4,8.2,9.0,
P002,D004,W004,26.5,0.8,25.7,27.3,
P002,D004,W005,12.7,0.6,12.1,13.3,
P002,D005,S001,2.6,0.2,2.4,2.8,
P002,D005,S002,4.9,0.3,4.6,5.2,
P002,D005,S003,6.4,0.4,6.0,6.8,
P002,D005,S004,25.1,0.6,24.5,25.7,
P002,D005,S005,30.7,0.9,29.8,31.6,
P002,D006,U001,14.3,1.6,12.7,15.9,
P002,D006,U002,85.7,1.6,84.1,87.3,
P003,D001,Q001,19.2,0.6,18.6,19.8,
P003,D001,Q002,22.7,0.7,22.0,23.4,
P003,D001,Q003,21.8,0.6,21.2,22.4,
P003,D001,Q004,15.5,0.6,14.9,16.1,
P003,D001,Q005,12.4,0.5,11.9,12.9,
P003,D002,L001,65.6,0.5,65.1,66.1,
P003,D002,L002,3.0,0.2,2.8,3.2,
P003,D002,L003,28.0,0.5,27.5,28.5,
P003,D003,B001,12.0,0.4,11.6,12.4,
P003,D003,B002,88.0,0.4,87.6,88.4,
P003,D004,W001,9.4,0.4,9.0,9.8,
P003,D004,W002,13.5,0.5,13.0,14.0,
P003,D004,W003,8.6,0.4,8.2,9.0,
P003,D004,W004,26.4,0.8,25.6,27.2,
