PpCode,DmCode,VaCode,Estimate,LSE,LowerCIB,UpperCIB,Flag
P001,D001,G001,49.1,0,49.1,49.1,
P001,D001,G002,50.9,0,50.9,50.9,
P001,D001,G003,,,,,NA
P001,D001,G004,100,,,,NA
P001,D002,A001,11.5,0,11.5,11.5,
P001,D002,A002,9.6,0,9.6,9.6,
P001,D002,A003,9.7,0,9.7,9.7,
P001,D002,A004,8.7,0,8.7,8.7,
P001,D002,A005,8,0,8,8,
P001,D002,A006,8.4,0,8.4,8.4,
P001,D002,A007,8.4,0,8.4,8.4,
P001,D002,A008,8.3,0,8.3,8.3,
P001,D002,A009,7.5,0,7.5,7.5,
P001,D002,A010,19.9,0,19.9,19.9,
P001,D002,A011,100,,,,NA
P001,D003,E001,69.3,1,68.3,70.3,
P001,D003,E002,14,0.1,13.9,14.1,
P001,D003,E003,6.7,0.5,6.2,7.2,
P001,D003,E004,16.9,1,15.9,17.9,
P001,D003,E005,1.5,0.2,1.3,1.7,
P001,D003,E006,1.5,0.2,1.3,1.7,
P001,D003,E007,100,,,,NA
P001,D004,Q001,18.8,0.6,18.2,19.4,
P001,D004,Q002,22,0.7,21.3,22.7,
P001,D004,Q003,10.4,0.5,9.9,10.9,
P001,D004,Q004,10.9,0.4,10.5,11.3,
P001,D004,Q005,15.1,0.6,14.5,15.7,
P001,D004,Q006,6.9,0.3,6.6,7.2,
P001,D004,Q007,4.5,0.3,4.2,4.8,
P001,D004,Q008,0.7,0.1,0.6,0.8,
P001,D004,Q009,3.7,0.3,3.4,4,
P001,D004,Q010,0.3,0.1,0.2,0.4,
P001,D004,Q011,4.4,0.4,4,4.8,
P001,D004,Q012,100,,,,NA
P001,D005,L001,65.6,0.5,65.1,66.1,
P001,D005,L002,3,0.2,2.8,3.2,
P001,D005,L003,28,0.5,27.5,28.5,
P001,D005,L004,100,,,,NA
P001,D006,B001,12,0.4,11.6,12.4,
P001,D006,B002,88,0.4,87.6,88.4,
P001,D006,B003,100,,,,NA
P001,D007,W001,9.4,0.4,9,9.8,
P001,D007,W002,13.5,0.5,13,14,
P001,D007,W003,8.6,0.4,8.2,9,
P001,D007,W004,26.4,0.8,25.6,27.2,
P001,D007,W005,12.5,0.5,12,13,
P001,D007,W006,100,,,,NA
P001,D008,S001,2.9,0.2,2.7,3.1,
P001,D008,S002,5.2,0.3,4.9,5.5,
P001,D008,S003,6.6,0.4,6.2,7,
P001,D008,S004,25.2,0.6,24.6,25.8,
P001,D008,S005,30.4,0.9,29.5,31.3,
P001,D008,S006,100,,,,NA
P001,D009,R001,3.8,0.1,3.7,3.9,
P001,D009,R002,33.6,0.3,33.3,33.9,
P001,D009,R003,9.6,0.2,9.4,9.8,
P001,D009,R004,6.6,0.1,6.5,6.7,
P001,D009,R005,4.5,0.1,4.4,4.6,
P001,D009,R006,2.4,0.1,2.3,2.5,
P001,D009,R007,4.8,0.1,4.7,4.9,
P001,D009,R008,11.1,0.2,10.9,11.3,
P001,D009,R009,3.9,0.1,3.8,4,
P001,D009,R010,12.8,0.4,12.4,13.2,
P001,D009,R011,4.9,0.2,4.7,5.1,
P001,D009,R012,2,0.1,1.9,2.1,
P001,D009,R013,100,,,,NA
P001,D010,U001,14.3,1.5,12.8,15.8,
P001,D010,U002,85.7,1.5,84.2,87.2,
P001,D010,U003,100,,,,NA
P002,D001,G001,28.5,7.4,21.1,35.9,
P002,D001,G002,28,8.7,19.3,36.7,
P002,D001,G003,43.5,9.3,34.2,52.8,
P002,D001,G004,100,,,,NA
P002,D002,A001,28.9,9.4,19.5,38.3,
P002,D002,A002,9,5,4,14,
P002,D002,A003,9.3,5.7,3.6,15,
P002,D002,A004,5.6,4.1,1.5,9.7,
P002,D002,A005,6.1,3.6,2.5,9.7,
P002,D002,A006,5.5,3.8,1.7,9.3,
P002,D002,A007,9,5.4,3.6,14.4,
P002,D002,A008,9.7,5.6,4.1,15.3,
P002,D002,A009,8.1,7.6,0.5,15.7,
P002,D002,A010,8.8,4.4,4.4,13.2,
P002,D002,A011,100,,,,NA
P002,D003,E001,72.7,8.5,64.2,81.2,
P002,D003,E002,14.6,8.2,6.4,22.8,
P002,D003,E003,6.7,4,2.7,10.7,
P002,D003,E004,16.2,7.8,8.4,24,
P002,D003,E005,,,,,S
P002,D003,E006,,,,,S
P002,D003,E007,100,,,,NA
P002,D004,Q001,14.7,5.9,8.8,20.6,
P002,D004,Q002,30.7,9.7,21,40.4,
P002,D004,Q003,12.1,7.8,4.3,19.9,
P002,D004,Q004,10.6,5.9,4.7,16.5,
P002,D004,Q005,12.1,6.7,5.4,18.8,
P002,D004,Q006,5.8,3.6,2.2,9.4,
P002,D004,Q007,6,4.4,1.6,10.4,
P002,D004,Q008,,,,,S
P002,D004,Q009,,,,,S
P002,D004,Q010,,,,,S
P002,D004,Q011,4.2,3.9,0.3,8.1,
P002,D004,Q012,100,,,,NA
P002,D005,L001,63.3,9.5,53.8,72.8,
P002,D005,L002,5,4.3,0.7,9.3,
P002,D005,L003,29.5,9.3,20.2,38.8,
P002,D005,L004,100,,,,NA
P002,D006,B001,22.1,7.3,14.8,29.4,
P002,D006,B002,77.9,7.3,70.6,85.2,
P002,D006,B003,100,,,,NA
P002,D007,W001,27.6,9,18.6,36.6,
P002,D007,W002,20.6,7.6,13,28.2,
P002,D007,W003,7.5,6.9,0.6,14.4,
P002,D007,W004,11.1,5.5,5.6,16.6,
P002,D007,W005,14.1,7.1,7,21.2,
P002,D007,W006,100,,,,NA
