PpCode,DmCode,VaCode,Estimate,LSE,LowerCIB,UpperCIB,Flag
P001,D001,G001,1889.7,2.6,1887.1,1892.3,
P001,D001,G002,1955.4,2.9,1952.5,1958.3,
P001,D001,G003,,,,,NA
P001,D001,G004,3845,3.9,3841.1,3848.9,
P001,D002,A001,441.7,2.1,439.6,443.8,
P001,D002,A002,370.1,1,369.1,371.1,
P001,D002,A003,373.1,1.2,371.9,374.3,
P001,D002,A004,333.5,0.8,332.7,334.3,
P001,D002,A005,306.6,0.7,305.9,307.3,
P001,D002,A006,323.3,0.7,322.6,324,
P001,D002,A007,323.4,1.1,322.3,324.5,
P001,D002,A008,320,1.1,318.9,321.1,
P001,D002,A009,289.1,1.5,287.6,290.6,
P001,D002,A010,764.3,0.9,763.4,765.2,
P001,D002,A011,3845,3.9,3841.1,3848.9,
P001,D003,E001,2665.4,39.6,2625.8,2705,
P001,D003,E002,538.8,4.6,534.2,543.4,
P001,D003,E003,256.9,20.3,236.6,277.2,
P001,D003,E004,650.6,37.8,612.8,688.4,
P001,D003,E005,58.1,9.4,48.7,67.5,
P001,D003,E006,57.3,6.8,50.5,64.1,
P001,D003,E007,3845,3.9,3841.1,3848.9,
P001,D004,Q001,721.2,23.7,697.5,744.9,
P001,D004,Q002,844.4,25.8,818.6,870.2,
P001,D004,Q003,398.3,19.5,378.8,417.8,
P001,D004,Q004,421,16.8,404.2,437.8,
P001,D004,Q005,580.6,22.4,558.2,603,
P001,D004,Q006,263.6,12.9,250.7,276.5,
P001,D004,Q007,173.9,12.1,161.8,186,
P001,D004,Q008,28.8,4.4,24.4,33.2,
P001,D004,Q009,141.3,10.1,131.2,151.4,
P001,D004,Q010,11.1,2.8,8.3,13.9,
P001,D004,Q011,167.8,14.5,153.3,182.3,
P001,D004,Q012,3845,3.9,3841.1,3848.9,
P001,D005,L001,2520.6,20.7,2499.9,2541.3,
P001,D005,L002,114.9,7.3,107.6,122.2,
P001,D005,L003,1076.5,18.4,1058.1,1094.9,
P001,D005,L004,3845,3.9,3841.1,3848.9,
P001,D006,B001,461,16.5,444.5,477.5,
P001,D006,B002,3384.1,17.3,3366.8,3401.4,
P001,D006,B003,3845,3.9,3841.1,3848.9,
P001,D007,R001,145,5.1,139.9,150.1,
P001,D007,R002,1290.4,13.2,1277.2,1303.6,
P001,D007,R003,367.5,7.4,360.1,374.9,
P001,D007,R004,253.7,5.4,248.3,259.1,
P001,D007,R005,171.6,4.3,167.3,175.9,
P001,D007,R006,93.4,3.5,89.9,96.9,
P001,D007,R007,186.5,4.6,181.9,191.1,
P001,D007,R008,426.2,8.7,417.5,434.9,
P001,D007,R009,151.8,4.8,147,156.6,
P001,D007,R010,491.8,17.4,474.4,509.2,
P001,D007,R011,189.4,7.6,181.8,197,
P001,D007,R012,77.8,2.8,75,80.6,
P001,D007,R013,3845,3.9,3841.1,3848.9,
P001,D008,U001,549.5,58.8,490.7,608.3,
P001,D008,U002,3295.5,59.1,3236.4,3354.6,
P001,D008,U003,3845,3.9,3841.1,3848.9,
P002,D001,G001,5.5,1.9,3.6,7.4,
P002,D001,G002,5.4,1.8,3.6,7.2,
P002,D001,G003,8.5,2.5,6,11,
P002,D001,G004,19.4,3.9,15.5,23.3,
P002,D002,A001,5.6,2.1,3.5,7.7,
P002,D002,A002,1.7,1,0.7,2.7,
