PpCode,DmCode,VaCode,Estimate,LSE,LowerCIB,UpperCIB,Flag
P004,D001,G001,56.5,6.3,50.2,62.8,
P004,D001,G002,41.6,6.2,35.4,47.8,
P004,D001,G003,1.9,1.6,0.3,3.5,
P004,D001,G004,100,,,,NA
P004,D002,A001,17.4,4.5,12.9,21.9,
P004,D002,A002,29.5,7.5,22,37,
P004,D002,A003,14.1,4,10.1,18.1,
P004,D002,A004,14,3.8,10.2,17.8,
P004,D002,A005,12.8,3.7,9.1,16.5,
P004,D002,A006,12.1,3.8,8.3,15.9,
P004,D002,A007,100,,,,NA
P004,D003,E001,79.3,4.5,74.8,83.8,
P004,D003,E002,17.6,4.9,12.7,22.5,
P004,D003,E003,5.5,2.7,2.8,8.2,
P004,D003,E004,8.6,3.4,5.2,12,
P004,D003,E005,2.9,1.9,1,4.8,
P004,D003,E006,,,,,S
P004,D003,E007,100,,,,NA
P004,D004,Q001,13.7,4.2,9.5,17.9,
P004,D004,Q002,21.2,5.2,16,26.4,
P004,D004,Q003,8.2,3,5.2,11.2,
P004,D004,Q004,11.1,3.7,7.4,14.8,
P004,D004,Q005,18.7,4.1,14.6,22.8,
P004,D004,Q006,10.1,3.3,6.8,13.4,
P004,D004,Q007,10.3,3.8,6.5,14.1,
P004,D004,Q008,,,,,S
P004,D004,Q009,2.4,1.6,0.8,4,
P004,D004,Q010,,,,,S
P004,D004,Q011,3,1.8,1.2,4.8,
P004,D004,Q012,100,,,,NA
P004,D005,L001,72.8,5,67.8,77.8,
P004,D005,L002,4.5,2.1,2.4,6.6,
P004,D005,L003,22.7,4.5,18.2,27.2,
P004,D005,L004,100,,,,NA
P004,D006,B001,11.1,3.2,7.9,14.3,
P004,D006,B002,88.9,3.2,85.7,92.1,
P004,D006,B003,100,,,,NA
P004,D007,U001,12.3,6.1,6.2,18.4,
P004,D007,U002,87.7,6.1,81.6,93.8,
P004,D007,U003,100,,,,NA
P005,D001,G001,26.5,3.6,22.9,30.1,
P005,D001,G002,71,3.4,67.6,74.4,
P005,D001,G003,2.5,1.3,1.2,3.8,
P005,D001,G004,100,,,,NA
P005,D002,A001,40.8,4.8,36,45.6,
P005,D002,A002,30.5,4.6,25.9,35.1,
P005,D002,A003,12.5,2.8,9.7,15.3,
P005,D002,A004,8.5,2.5,6,11,
P005,D002,A005,4.2,1.6,2.6,5.8,
P005,D002,A006,3.4,1.9,1.5,5.3,
P005,D002,A007,100,,,,NA
P005,D003,E001,84,3.4,80.6,87.4,
P005,D003,E002,16.9,3.2,13.7,20.1,
