PpCode,DmCode,VaCode,Estimate,LSE,LowerCIB,UpperCIB,Flag
P001,D001,G001,37.8,3,34.8,40.8,
P001,D001,G002,57.2,3.2,54,60.4,
P001,D001,G003,5,1.5,3.5,6.5,
P001,D001,G004,100,,,,NA
P001,D002,A001,28.9,3.2,25.7,32.1,
P001,D002,A002,16.1,3,13.1,19.1,
P001,D002,A003,13.3,2.4,10.9,15.7,
P001,D002,A004,7.4,1.7,5.7,9.1,
P001,D002,A005,6.2,1.3,4.9,7.5,
P001,D002,A006,7,1.8,5.2,8.8,
P001,D002,A007,4.5,1.3,3.2,5.8,
P001,D002,A008,5.5,1.4,4.1,6.9,
P001,D002,A009,3.7,1.2,2.5,4.9,
P001,D002,A010,7.3,1.7,5.6,9,
P001,D002,A011,100,,,,NA
P001,D003,E001,78.4,2.7,75.7,81.1,
P001,D003,E002,16.1,2.5,13.6,18.6,
P001,D003,E003,5.7,1.4,4.3,7.1,
P001,D003,E004,11.5,2.3,9.2,13.8,
P001,D003,E005,2.4,1,1.4,3.4,
P001,D003,E006,1,0.6,0.4,1.6,
P001,D003,E007,100,,,,NA
P001,D004,Q001,12.6,1.8,10.8,14.4,
P001,D004,Q002,27.8,2.9,24.9,30.7,
P001,D004,Q003,9.6,2,7.6,11.6,
P001,D004,Q004,11.6,2.3,9.3,13.9,
P001,D004,Q005,15.7,2.3,13.4,18,
P001,D004,Q006,8.1,2,6.1,10.1,
P001,D004,Q007,7.2,1.6,5.6,8.8,
P001,D004,Q008,1,0.5,0.5,1.5,
P001,D004,Q009,2.5,1.2,1.3,3.7,
P001,D004,Q010,0.4,0.4,0,0.8,
P001,D004,Q011,3.2,1.3,1.9,4.5,
P001,D004,Q012,100,,,,NA
P001,D005,L001,69.7,2.7,67,72.4,
P001,D005,L002,6.2,1.5,4.7,7.7,
P001,D005,L003,23.8,2.6,21.2,26.4,
P001,D005,L004,100,,,,NA
P001,D006,B001,18.1,2.5,15.6,20.6,
P001,D006,B002,81.9,2.5,79.4,84.4,
P001,D006,B003,100,,,,NA
P001,D007,W001,24.4,3.1,21.3,27.5,
P001,D007,W002,22.8,2.5,20.3,25.3,
P001,D007,W003,9.9,2.1,7.8,12,
P001,D007,W004,21.8,2.6,19.2,24.4,
P001,D007,W005,9.1,1.9,7.2,11,
P001,D007,W006,100,,,,NA
P001,D008,S001,9.3,1.9,7.4,11.2,
P001,D008,S002,15.5,2.4,13.1,17.9,
P001,D008,S003,14.7,2.4,12.3,17.1,
P001,D008,S004,28.2,3,25.2,31.2,
P001,D008,S005,20.5,2.6,17.9,23.1,
P001,D008,S006,100,,,,NA
P001,D009,R001,3.1,1.4,1.7,4.5,
P001,D009,R002,33.2,3.6,29.6,36.8,
P001,D009,R003,9.8,2.7,7.1,12.5,
P001,D009,R004,4.7,1.6,3.1,6.3,
P001,D009,R005,2.9,1,1.9,3.9,
P001,D009,R006,2.2,0.9,1.3,3.1,
P001,D009,R007,4.7,1.3,3.4,6,
P001,D009,R008,16,3.4,12.6,19.4,
P001,D009,R009,3.2,1.2,2,4.4,
P001,D009,R010,13.4,3.1,10.3,16.5,
P001,D009,R011,5.5,1.9,3.6,7.4,
P001,D009,R012,1.3,0.7,0.6,2,
P001,D009,R013,100,,,,NA
P001,D010,U001,11.3,2.9,8.4,14.2,
P001,D010,U002,88.7,2.9,85.8,91.6,
P001,D010,U003,100,,,,NA
P002,D001,G001,49.6,0.1,49.5,49.7,
P002,D001,G002,50.4,0.1,50.3,50.5,
P002,D001,G003,,,,,NA
P002,D001,G004,100,,,,NA
P002,D002,A001,10.8,0.2,10.6,11,
P002,D002,A002,9.3,0.1,9.2,9.4,
P002,D002,A003,9.5,0.1,9.4,9.6,
P002,D002,A004,8.7,0.1,8.6,8.8,
P002,D002,A005,8,0.1,7.9,8.1,
P002,D002,A006,8.5,0.1,8.4,8.6,
P002,D002,A007,8.6,0.1,8.5,8.7,
P002,D002,A008,8.5,0.1,8.4,8.6,
P002,D002,A009,7.7,0.1,7.6,7.8,
P002,D002,A010,20.4,0.1,20.3,20.5,
P002,D002,A011,100,,,,NA
P002,D003,E001,68.9,1,67.9,69.9,
P002,D003,E002,13.9,0.2,13.7,14.1,
P002,D003,E003,6.7,0.5,6.2,7.2,
P002,D003,E004,17.2,1,16.2,18.2,
P002,D003,E005,1.5,0.3,1.2,1.8,
P002,D003,E006,1.5,0.2,1.3,1.7,
P002,D003,E007,100,,,,NA
P002,D004,Q001,19,0.6,18.4,19.6,
P002,D004,Q002,21.7,0.7,21,22.4,
P002,D004,Q003,10.4,0.5,9.9,10.9,
P002,D004,Q004,10.9,0.4,10.5,11.3,
P002,D004,Q005,15.1,0.6,14.5,15.7,
P002,D004,Q006,6.8,0.3,6.5,7.1,
P002,D004,Q007,4.4,0.3,4.1,4.7,
P002,D004,Q008,0.7,0.1,0.6,0.8,
P002,D004,Q009,3.7,0.3,3.4,4,
P002,D004,Q010,0.3,0.1,0.2,0.4,
P002,D004,Q011,4.4,0.4,4,4.8,
P002,D004,Q012,100,,,,NA
P002,D005,L001,65.4,0.6,64.8,66,
P002,D005,L002,2.9,0.2,2.7,3.1,
P002,D005,L003,28.2,0.5,27.7,28.7,
P002,D005,L004,100,,,,NA
P002,D006,B001,11.8,0.4,11.4,12.2,
P002,D006,B002,88.2,0.4,87.8,88.6,
P002,D006,B003,100,,,,NA
P002,D007,W001,8.8,0.4,8.4,9.2,
P002,D007,W002,13.1,0.4,12.7,13.5,
P002,D007,W003,8.5,0.4,8.1,8.9,
P002,D007,W004,26.6,0.8,25.8,27.4,
P002,D007,W005,12.7,0.6,12.1,13.3,
P002,D007,W006,100,,,,NA
P002,D008,S001,2.6,0.2,2.4,2.8,
P002,D008,S002,4.8,0.3,4.5,5.1,
P002,D008,S003,6.3,0.4,5.9,6.7,
P002,D008,S004,25.1,0.6,24.5,25.7,
P002,D008,S005,30.7,0.9,29.8,31.6,
P002,D008,S006,100,,,,NA
P002,D009,R001,3.8,0.1,3.7,3.9,
P002,D009,R002,33.6,0.4,33.2,34,
P002,D009,R003,9.5,0.2,9.3,9.7,
P002,D009,R004,6.7,0.1,6.6,6.8,
P002,D009,R005,4.5,0.1,4.4,4.6,
P002,D009,R006,2.4,0.1,2.3,2.5,
P002,D009,R007,4.9,0.1,4.8,5,
P002,D009,R008,10.9,0.2,10.7,11.1,
P002,D009,R009,4,0.1,3.9,4.1,
P002,D009,R010,12.8,0.4,12.4,13.2,
P002,D009,R011,4.9,0.2,4.7,5.1,
P002,D009,R012,2.1,0.1,2,2.2,
P002,D009,R013,100,,,,NA
P002,D010,U001,14.4,1.6,12.8,16,
P002,D010,U002,85.6,1.6,84,87.2,
P002,D010,U003,100,,,,NA
P003,D001,G001,49,0.1,48.9,49.1,
P003,D001,G002,50.7,0.1,50.6,50.8,
P003,D001,G003,0.2,0.1,0.1,0.3,
P003,D001,G004,100,,,,NA
P003,D002,A001,11.6,0,11.6,11.6,
P003,D002,A002,9.6,0,9.6,9.6,
P003,D002,A003,9.7,0,9.7,9.7,
P003,D002,A004,8.7,0,8.7,8.7,
P003,D002,A005,8,0,8,8,
P003,D002,A006,8.4,0,8.4,8.4,
P003,D002,A007,8.4,0,8.4,8.4,
P003,D002,A008,8.3,0,8.3,8.3,
P003,D002,A009,7.5,0,7.5,7.5,
P003,D002,A010,19.8,0,19.8,19.8,
P003,D002,A011,100,,,,NA
P003,D003,E001,69.3,1,68.3,70.3,
P003,D003,E002,14,0.1,13.9,14.1,
P003,D003,E003,6.7,0.5,6.2,7.2,
P003,D003,E004,16.9,1,15.9,17.9,
P003,D003,E005,1.5,0.2,1.3,1.7,
P003,D003,E006,1.5,0.2,1.3,1.7,
P003,D003,E007,100,,,,NA
P003,D004,Q001,18.7,0.6,18.1,19.3,
P003,D004,Q002,22,0.7,21.3,22.7,
P003,D004,Q003,10.4,0.5,9.9,10.9,
P003,D004,Q004,10.9,0.4,10.5,11.3,
P003,D004,Q005,15.1,0.6,14.5,15.7,
P003,D004,Q006,6.9,0.3,6.6,7.2,
P003,D004,Q007,4.5,0.3,4.2,4.8,
P003,D004,Q008,0.7,0.1,0.6,0.8,
P003,D004,Q009,3.7,0.3,3.4,4,
P003,D004,Q010,0.3,0.1,0.2,0.4,
P003,D004,Q011,4.4,0.4,4,4.8,
P003,D004,Q012,100,,,,NA
P003,D005,L001,65.5,0.5,65,66,
P003,D005,L002,3,0.2,2.8,3.2,
P003,D005,L003,28,0.5,27.5,28.5,
P003,D005,L004,100,,,,NA
P003,D006,B001,12,0.4,11.6,12.4,
P003,D006,B002,88,0.4,87.6,88.4,
P003,D006,B003,100,,,,NA
P003,D007,W001,9.5,0.4,9.1,9.9,
P003,D007,W002,13.5,0.4,13.1,13.9,
P003,D007,W003,8.6,0.4,8.2,9,
P003,D007,W004,26.4,0.8,25.6,27.2,
P003,D007,W005,12.5,0.6,11.9,13.1,
P003,D007,W006,100,,,,NA
P003,D008,S001,2.9,0.2,2.7,3.1,
P003,D008,S002,5.3,0.3,5,5.6,
P003,D008,S003,6.6,0.4,6.2,7,
P003,D008,S004,25.2,0.6,24.6,25.8,
P003,D008,S005,30.3,0.9,29.4,31.2,
P003,D008,S006,100,,,,NA
P003,D009,R001,3.8,0.1,3.7,3.9,
P003,D009,R002,33.6,0.3,33.3,33.9,
P003,D009,R003,9.5,0.2,9.3,9.7,
P003,D009,R004,6.6,0.1,6.5,6.7,
P003,D009,R005,4.5,0.1,4.4,4.6,
P003,D009,R006,2.4,0.1,2.3,2.5,
P003,D009,R007,4.9,0.1,4.8,5,
P003,D009,R008,11.1,0.2,10.9,11.3,
P003,D009,R009,4,0.1,3.9,4.1,
P003,D009,R010,12.8,0.4,12.4,13.2,
P003,D009,R011,4.9,0.2,4.7,5.1,
P003,D009,R012,2,0.1,1.9,2.1,
P003,D009,R013,100,,,,NA
P003,D010,U001,14.3,1.5,12.8,15.8,
P003,D010,U002,85.7,1.5,84.2,87.2,
P003,D010,U003,100,,,,NA
