PpCode,DmCode,VaCode,Estimate,LSE,LowerCIB,UpperCIB,Flag
P001,H001,D001,75.4,3.3,72.1,78.7,
P001,H001,D002,24.4,3.3,21.1,27.7,
P001,H001,D003,,,,,S
P001,H001,D004,,,,,S
P001,H001,D005,100,,,,NA
P001,H002,T001,39.2,4,35.2,43.2,
P001,H002,T002,51.6,3.8,47.8,55.4,
P001,H002,T003,9.1,2.2,6.9,11.3,
P001,H002,T004,100,,,,NA
P001,H003,C001,20.2,2.7,17.5,22.9,
P001,H003,C002,3.3,1.2,2.1,4.5,
P001,H003,C003,4,1.4,2.6,5.4,
P001,H003,C004,1.6,1,0.6,2.6,
P001,H003,C005,11.9,2.2,9.7,14.1,
P001,H003,C006,2.7,0.9,1.8,3.6,
P001,H003,C007,5.8,1.5,4.3,7.3,
P001,H003,C008,17.8,3.6,14.2,21.4,
P001,H003,C009,10.6,1.8,8.8,12.4,
P001,H003,C010,21.9,3.9,18,25.8,
P001,H003,C011,100,,,,NA
P001,H004,W001,1.3,0.8,0.5,2.1,
P001,H004,W002,6,1.9,4.1,7.9,
P001,H004,W003,34.3,3.4,30.9,37.7,
P001,H004,W004,33.5,3.5,30,37,
P001,H004,W005,25,3.2,21.8,28.2,
P001,H004,W006,100,,,,NA
P001,H005,W001,71.4,3.7,67.7,75.1,
P001,H005,W002,24.1,3.7,20.4,27.8,
P001,H005,W003,4.2,1.4,2.8,5.6,
P001,H005,W004,75,3.4,71.6,78.4,
P001,H005,W005,15,2.7,12.3,17.7,
P001,H005,W006,7.7,1.9,5.8,9.6,
P001,H005,W007,100,,,,NA
P002,H001,D001,85.3,0.9,84.4,86.2,
P002,H001,D002,14.2,0.9,13.3,15.1,
P002,H001,D003,0.1,0.1,0,0.2,
P002,H001,D004,0.4,0.2,0.2,0.6,
P002,H001,D005,100,,,,NA
P002,H002,T001,52.2,1,51.2,53.2,
P002,H002,T002,34.1,0.9,33.2,35,
P002,H002,T003,13.6,0.7,12.9,14.3,
P002,H002,T004,100,,,,NA
P002,H003,C001,25.8,0.5,25.3,26.3,
P002,H003,C002,6.6,0.4,6.2,7,
P002,H003,C003,8.5,0.5,8,9,
P002,H003,C004,3.8,0.3,3.5,4.1,
P002,H003,C005,14.9,0.8,14.1,15.7,
P002,H003,C006,2.1,0.2,1.9,2.3,
P002,H003,C007,4.4,0.4,4,4.8,
P002,H003,C008,9.9,0.7,9.2,10.6,
P002,H003,C009,10.4,0.2,10.2,10.6,
P002,H003,C010,13.7,0.8,12.9,14.5,
P002,H003,C011,100,,,,NA
P002,H004,W001,1.6,0.3,1.3,1.9,
P002,H004,W002,5.2,0.6,4.6,5.8,
P002,H004,W003,22.5,1,21.5,23.5,
P002,H004,W004,31.1,0.9,30.2,32,
P002,H004,W005,39.5,1.1,38.4,40.6,
P002,H004,W006,100,,,,NA
P002,H005,W001,78.6,1,77.6,79.6,
P002,H005,W002,17.2,0.9,16.3,18.1,
P002,H005,W003,3.8,0.4,3.4,4.2,
P002,H005,W004,80.4,0.9,79.5,81.3,
P002,H005,W005,12.7,0.7,12,13.4,
P002,H005,W006,5.8,0.5,5.3,6.3,
P002,H005,W007,100,,,,NA
P003,H001,D001,84.9,1,83.9,85.9,
P003,H001,D002,14.7,0.9,13.8,15.6,
P003,H001,D003,0.1,0.1,0,0.2,
P003,H001,D004,0.4,0.2,0.2,0.6,
P003,H001,D005,100,,,,NA
P003,H002,T001,51.6,1,50.6,52.6,
P003,H002,T002,34.9,0.9,34,35.8,
P003,H002,T003,13.4,0.7,12.7,14.1,
P003,H002,T004,100,,,,NA
P003,H003,C001,25.5,0.5,25,26,
P003,H003,C002,6.4,0.4,6,6.8,
P003,H003,C003,8.3,0.5,7.8,8.8,
P003,H003,C004,3.7,0.3,3.4,4,
P003,H003,C005,14.7,0.8,13.9,15.5,
P003,H003,C006,2.1,0.2,1.9,2.3,
P003,H003,C007,4.4,0.4,4,4.8,
P003,H003,C008,10.2,0.7,9.5,10.9,
P003,H003,C009,10.4,0.2,10.2,10.6,
P003,H003,C010,14,0.8,13.2,14.8,
P003,H003,C011,100,,,,NA
P003,H004,W001,1.6,0.3,1.3,1.9,
P003,H004,W002,5.3,0.6,4.7,5.9,
P003,H004,W003,23,1,22,24,
P003,H004,W004,31.2,1,30.2,32.2,
P003,H004,W005,38.8,1.1,37.7,39.9,
P003,H004,W006,100,,,,NA
P003,H005,W001,78.3,1,77.3,79.3,
P003,H005,W002,17.5,0.9,16.6,18.4,
P003,H005,W003,3.8,0.4,3.4,4.2,
P003,H005,W004,80.1,1,79.1,81.1,
P003,H005,W005,12.8,0.7,12.1,13.5,
P003,H005,W006,5.9,0.6,5.3,6.5,
P003,H005,W007,100,,,,NA
P004,H001,D001,84.9,1,83.9,85.9,
P004,H001,D002,14.6,0.9,13.7,15.5,
P004,H001,D003,0.1,0.1,0,0.2,
P004,H001,D004,0.4,0.2,0.2,0.6,
P004,H001,D005,100,,,,NA
P004,H002,T001,51.7,1,50.7,52.7,
P004,H002,T002,34.8,0.9,33.9,35.7,
P004,H002,T003,13.4,0.7,12.7,14.1,
P004,H002,T004,100,,,,NA
P004,H003,C001,25.6,0.5,25.1,26.1,
P004,H003,C002,6.4,0.4,6,6.8,
P004,H003,C003,8.4,0.5,7.9,8.9,
P004,H003,C004,3.7,0.3,3.4,4,
P004,H003,C005,14.7,0.8,13.9,15.5,
P004,H003,C006,2.1,0.2,1.9,2.3,
P004,H003,C007,4.4,0.4,4,4.8,
P004,H003,C008,10.2,0.7,9.5,10.9,
P004,H003,C009,10.4,0.2,10.2,10.6,
P004,H003,C010,14,0.8,13.2,14.8,
P004,H003,C011,100,,,,NA
P004,H004,W001,1.6,0.3,1.3,1.9,
P004,H004,W002,5.3,0.6,4.7,5.9,
P004,H004,W003,23,1,22,24,
P004,H004,W004,31.1,1,30.1,32.1,
P004,H004,W005,38.9,1.1,37.8,40,
P004,H004,W006,100,,,,NA
P004,H005,W001,78.3,1,77.3,79.3,
P004,H005,W002,17.5,0.9,16.6,18.4,
P004,H005,W003,3.8,0.4,3.4,4.2,
P004,H005,W004,80.1,1,79.1,81.1,
P004,H005,W005,12.8,0.7,12.1,13.5,
P004,H005,W006,5.9,0.6,5.3,6.5,
P004,H005,W007,100,,,,NA
P005,H001,D001,79.8,8.1,71.7,87.9,
P005,H001,D002,19.5,7.9,11.6,27.4,
P005,H001,D003,,,,,S
P005,H001,D004,,,,,S
P005,H001,D005,100,,,,NA
P005,H002,T001,41.5,10.7,30.8,52.2,
P005,H002,T002,44,10.5,33.5,54.5,
P005,H002,T003,14.5,6.3,8.2,20.8,
P005,H002,T004,100,,,,NA
P005,H003,C001,17.2,6.5,10.7,23.7,
P005,H003,C002,5.6,4.6,1,10.2,
P005,H003,C003,6.2,4.5,1.7,10.7,
P005,H003,C004,,,,,S
P005,H003,C005,24.1,10.4,13.7,34.5,
P005,H003,C006,2.2,2.1,0.1,4.3,
P005,H003,C007,5.9,4.7,1.2,10.6,
P005,H003,C008,13.9,7.2,6.7,21.1,
P005,H003,C009,9.5,4.7,4.8,14.2,
P005,H003,C010,15,7.6,7.4,22.6,
P005,H003,C011,100,,,,NA
P005,H004,W001,,,,,S
P005,H004,W002,,,,,S
P005,H004,W003,31.6,9.3,22.3,40.9,
P005,H004,W004,39.1,9,30.1,48.1,
P005,H004,W005,24.5,7.4,17.1,31.9,
P005,H004,W006,100,,,,NA
P005,H005,W001,74.3,9.5,64.8,83.8,
P005,H005,W002,22.7,9.2,13.5,31.9,
P005,H005,W003,2.8,2.6,0.2,5.4,
P005,H005,W004,80.6,7.8,72.8,88.4,
P005,H005,W005,9.9,6.9,3,16.8,
P005,H005,W006,7.2,5.1,2.1,12.3,
P005,H005,W007,100,,,,NA
P006,H001,D001,85.2,1,84.2,86.2,
P006,H001,D002,14.2,0.9,13.3,15.1,
P006,H001,D003,0.1,0.1,0,0.2,
P006,H001,D004,0.5,0.2,0.3,0.7,
P006,H001,D005,100,,,,NA
P006,H002,T001,53,1,52,54,
P006,H002,T002,32.7,0.9,31.8,33.6,
P006,H002,T003,14.1,0.7,13.4,14.8,
P006,H002,T004,100,,,,NA
P006,H003,C001,27.2,0.6,26.6,27.8,
P006,H003,C002,6.9,0.4,6.5,7.3,
P006,H003,C003,9,0.6,8.4,9.6,
P006,H003,C004,3.9,0.3,3.6,4.2,
P006,H003,C005,14.5,0.8,13.7,15.3,
P006,H003,C006,2.2,0.2,2,2.4,
P006,H003,C007,4.1,0.4,3.7,4.5,
