PpCode,DmCode,VaCode,Estimate,LSE,LowerCIB,UpperCIB,Flag
P001,D001,G001,40095,3378,36717,43473,
P001,D001,G002,36646,3233,33413,39879,
P001,D001,G003,25541,7220,18321,32761,
P001,D001,G004,37396,2092,35304,39488,
P001,D002,A001,20373,2756,17617,23129,
P001,D002,A002,36610,3922,32688,40532,
P001,D002,A003,40535,4276,36259,44811,
P001,D002,A004,49319,7292,42027,56611,
P001,D002,A005,54622,14980,39642,69602,
P001,D002,A006,46226,8449,37777,54675,
P001,D002,A007,47266,8962,38304,56228,
P001,D002,A008,48033,8253,39780,56286,
P001,D002,A009,62959,29848,33111,92807,
P001,D002,A010,38760,9901,28859,48661,
P001,D002,A011,37396,2092,35304,39488,
P001,D003,E001,37081,2718,34363,39799,
P001,D003,E002,34107,3398,30709,37505,
P001,D003,E003,35577,6214,29363,41791,
P001,D003,E004,39336,7031,32305,46367,
P001,D003,E005,42088,12328,29760,54416,
P001,D003,E006,35384,24449,10935,59833,
P001,D003,E007,37396,2092,35304,39488,
P001,D004,Q001,29785,3093,26692,32878,
P001,D004,Q002,25389,2865,22524,28254,
P001,D004,Q003,37061,4627,32434,41688,
P001,D004,Q004,43858,8033,35825,51891,
P001,D004,Q005,45828,5585,40243,51413,
P001,D004,Q006,49337,10108,39229,59445,
P001,D004,Q007,47218,8289,38929,55507,
P001,D004,Q008,74866,39069,35797,113935,
P001,D004,Q009,49012,16669,32343,65681,
P001,D004,Q010,29253,15401,13852,44654,
P001,D004,Q011,37875,13604,24271,51479,
P001,D004,Q012,37396,2092,35304,39488,
P001,D005,L001,43533,2924,40609,46457,
P001,D005,L002,24450,5256,19194,29706,
P001,D005,L003,23201,2751,20450,25952,
P001,D005,L004,37396,2092,35304,39488,
P001,D006,B001,27284,2702,24582,29986,
P001,D006,B002,39637,2435,37202,42072,
P001,D006,B003,37396,2092,35304,39488,
P001,D007,R001,33424,10200,23224,43624,
P001,D007,R002,41687,3941,37746,45628,
P001,D007,R003,39789,4704,35085,44493,
P001,D007,R004,37106,10382,26724,47488,
P001,D007,R005,41139,12500,28639,53639,
P001,D007,R006,35384,7802,27582,43186,
P001,D007,R007,30489,4793,25696,35282,
P001,D007,R008,41899,7158,34741,49057,
P001,D007,R009,30697,6882,23815,37579,
P001,D007,R010,28047,3610,24437,31657,
P001,D007,R011,30008,9617,20391,39625,
P001,D007,R012,29419,9837,19582,39256,
P001,D007,R013,37396,2092,35304,39488,
P001,D008,U001,38671,8603,30068,47274,
P001,D008,U002,37234,2199,35035,39433,
P001,D008,U003,37396,2092,35304,39488,
P002,D001,G001,49249,775,48474,50024,
P002,D001,G002,36451,521,35930,36972,
P002,D001,G003,,,,,NA
P002,D001,G004,42793,431,42362,43224,
P002,D002,A001,21449,812,20637,22261,
P002,D002,A002,39434,1173,38261,40607,
P002,D002,A003,43853,1165,42688,45018,
P002,D002,A004,51373,1860,49513,53233,
P002,D002,A005,52687,2217,50470,54904,
P002,D002,A006,57080,1876,55204,58956,
P002,D002,A007,54448,2571,51877,57019,
P002,D002,A008,49635,1903,47732,51538,
P002,D002,A009,43304,1995,41309,45299,
P002,D002,A010,33680,862,32818,34542,
P002,D002,A011,42793,431,42362,43224,
P002,D003,E001,45420,520,44900,45940,
P002,D003,E002,38004,989,37015,38993,
P002,D003,E003,34479,1119,33360,35598,
P002,D003,E004,38529,1046,37483,39575,
P002,D003,E005,37647,3074,34573,40721,
P002,D003,E006,35041,3348,31693,38389,
P002,D003,E007,42793,431,42362,43224,
P002,D004,Q001,33219,702,32517,33921,
P002,D004,Q002,36553,888,35665,37441,
P002,D004,Q003,44105,1346,42759,45451,
P002,D004,Q004,44795,1350,43445,46145,
P002,D004,Q005,52350,1599,50751,53949,
P002,D004,Q006,59234,2564,56670,61798,
P002,D004,Q007,62729,3261,59468,65990,
P002,D004,Q008,69271,7565,61706,76836,
P002,D004,Q009,43642,2499,41143,46141,
P002,D004,Q010,25186,6505,18681,31691,
P002,D004,Q011,37100,2871,34229,39971,
P002,D004,Q012,42793,431,42362,43224,
P002,D005,L001,52616,599,52017,53215,
P002,D005,L002,25547,1707,23840,27254,
P002,D005,L003,23906,513,23393,24419,
P002,D005,L004,42793,431,42362,43224,
P002,D006,B001,32121,890,31231,33011,
P002,D006,B002,44216,494,43722,44710,
P002,D006,B003,42793,431,42362,43224,
P002,D007,R001,36327,2303,34024,38630,
P002,D007,R002,45598,1258,44340,46856,
P002,D007,R003,39447,1621,37826,41068,
P002,D007,R004,40379,2537,37842,42916,
P002,D007,R005,40216,1972,38244,42188,
P002,D007,R006,41395,2735,38660,44130,
P002,D007,R007,37850,1664,36186,39514,
P002,D007,R008,50175,2037,48138,52212,
P002,D007,R009,39709,2951,36758,42660,
P002,D007,R010,41282,1521,39761,42803,
P002,D007,R011,37583,3002,34581,40585,
P002,D007,R012,39957,2529,37428,42486,
P002,D007,R013,42793,431,42362,43224,
P002,D008,U001,42687,1674,41013,44361,
P002,D008,U002,42811,489,42322,43300,
P002,D008,U003,42793,431,42362,43224,
P003,D001,G001,48939,753,48186,49692,
P003,D001,G002,36461,528,35933,36989,
P003,D001,G003,25541,7220,18321,32761,
P003,D001,G004,42557,402,42155,42959,
P003,D002,A001,21331,738,20593,22069,
P003,D002,A002,39226,1114,38112,40340,
P003,D002,A003,43654,1102,42552,44756,
P003,D002,A004,51296,1802,49494,53098,
P003,D002,A005,52753,2195,50558,54948,
P003,D002,A006,56681,1820,54861,58501,
P003,D002,A007,54279,2537,51742,56816,
P003,D002,A008,49588,1881,47707,51469,
P003,D002,A009,43723,2120,41603,45843,
P003,D002,A010,33763,850,32913,34613,
P003,D002,A011,42557,402,42155,42959,
P003,D003,E001,45007,499,44508,45506,
P003,D003,E002,37808,944,36864,38752,
P003,D003,E003,34520,1084,33436,35604,
P003,D003,E004,38553,1050,37503,39603,
P003,D003,E005,37953,3006,34947,40959,
P003,D003,E006,35051,3226,31825,38277,
P003,D003,E007,42557,402,42155,42959,
P003,D004,Q001,33117,692,32425,33809,
P003,D004,Q002,35935,840,35095,36775,
P003,D004,Q003,43818,1272,42546,45090,
P003,D004,Q004,44751,1337,43414,46088,
P003,D004,Q005,52052,1542,50510,53594,
P003,D004,Q006,58722,2501,56221,61223,
P003,D004,Q007,61651,3109,58542,64760,
P003,D004,Q008,69586,7451,62135,77037,
P003,D004,Q009,43805,2445,41360,46250,
P003,D004,Q010,25444,6166,19278,31610,
P003,D004,Q011,37125,2892,34233,40017,
P003,D004,Q012,42557,402,42155,42959,
P003,D005,L001,52193,586,51607,52779,
P003,D005,L002,25448,1570,23878,27018,
P003,D005,L003,23880,515,23365,24395,
P003,D005,L004,42557,402,42155,42959,
P003,D006,B001,31801,866,30935,32667,
P003,D006,B002,44029,464,43565,44493,
P003,D006,B003,42557,402,42155,42959,
P003,D007,R001,36223,2283,33940,38506,
P003,D007,R002,45428,1212,44216,46640,
P003,D007,R003,39462,1567,37895,41029,
P003,D007,R004,40277,2459,37818,42736,
P003,D007,R005,40242,1896,38346,42138,
P003,D007,R006,41151,2735,38416,43886,
P003,D007,R007,37536,1601,35935,39137,
P003,D007,R008,49654,2019,47635,51673,
P003,D007,R009,39386,2975,36411,42361,
P003,D007,R010,40673,1553,39120,42226,
P003,D007,R011,37212,3108,34104,40320,
P003,D007,R012,39659,2452,37207,42111,
P003,D007,R013,42557,402,42155,42959,
P003,D008,U001,42547,1710,40837,44257,
P003,D008,U002,42558,470,42088,43028,
P003,D008,U003,42557,402,42155,42959,
P004,D001,G001,48988,750,48238,49738,
P004,D001,G002,36481,530,35951,37011,
P004,D001,G003,,,,,NA
P004,D001,G004,42628,409,42219,43037,
P004,D002,A001,21448,755,20693,22203,
P004,D002,A002,39237,1119,38118,40356,
P004,D002,A003,43727,1106,42621,44833,
P004,D002,A004,51309,1817,49492,53126,
P004,D002,A005,52835,2202,50633,55037,
P004,D002,A006,56749,1825,54924,58574,
P004,D002,A007,54389,2553,51836,56942,
P004,D002,A008,49651,1862,47789,51513,
P004,D002,A009,43760,2126,41634,45886,
P004,D002,A010,33771,850,32921,34621,
P004,D002,A011,42628,409,42219,43037,
P004,D003,E001,45114,501,44613,45615,
P004,D003,E002,37849,943,36906,38792,
P004,D003,E003,34548,1089,33459,35637,
P004,D003,E004,38567,1051,37516,39618,
P004,D003,E005,37934,3023,34911,40957,
P004,D003,E006,34885,3245,31640,38130,
P004,D003,E007,42628,409,42219,43037,
P004,D004,Q001,33153,689,32464,33842,
P004,D004,Q002,36074,844,35230,36918,
P004,D004,Q003,43825,1274,42551,45099,
P004,D004,Q004,44868,1335,43533,46203,
P004,D004,Q005,52102,1549,50553,53651,
P004,D004,Q006,58828,2513,56315,61341,
P004,D004,Q007,61722,3142,58580,64864,
P004,D004,Q008,69584,7471,62113,77055,
P004,D004,Q009,43877,2456,41421,46333,
P004,D004,Q010,25479,6246,19233,31725,
P004,D004,Q011,37088,2911,34177,39999,
P004,D004,Q012,42628,409,42219,43037,
P004,D005,L001,52283,592,51691,52875,
P004,D005,L002,25455,1567,23888,27022,
P004,D005,L003,23902,518,23384,24420,
P004,D005,L004,42628,409,42219,43037,
P004,D006,B001,31916,867,31049,32783,
P004,D006,B002,44087,468,43619,44555,
P004,D006,B003,42628,409,42219,43037,
P004,D007,R001,36168,2268,33900,38436,
P004,D007,R002,45516,1214,44302,46730,
P004,D007,R003,39457,1559,37898,41016,
P004,D007,R004,40289,2466,37823,42755,
P004,D007,R005,40253,1912,38341,42165,
P004,D007,R006,41042,2743,38299,43785,
P004,D007,R007,37631,1603,36028,39234,
P004,D007,R008,49860,2029,47831,51889,
P004,D007,R009,39485,2928,36557,42413,
P004,D007,R010,40799,1547,39252,42346,
P004,D007,R011,37262,3114,34148,40376,
P004,D007,R012,39615,2430,37185,42045,
P004,D007,R013,42628,409,42219,43037,
P004,D008,U001,42588,1687,40901,44275,
P004,D008,U002,42634,473,42161,43107,
P004,D008,U003,42628,409,42219,43037,
P005,D001,G001,32125,8672,23453,40797,
P005,D001,G002,29328,10351,18977,39679,
P005,D001,G003,25541,7220,18321,32761,
P005,D001,G004,28475,4749,23726,33224,
P005,D002,A001,12091,4723,7368,16814,
P005,D002,A002,36952,7282,29670,44234,
P005,D002,A003,28554,27865,689,56419,
P005,D002,A004,47273,41347,5926,88620,
P005,D002,A005,31478,18477,13001,49955,
P005,D002,A006,35968,20631,15337,56599,
P005,D002,A007,33991,12662,21329,46653,
P005,D002,A008,38960,22694,16266,61654,
P005,D002,A009,36903,12894,24009,49797,
P005,D002,A010,30002,6747,23255,36749,
P005,D002,A011,28475,4749,23726,33224,
P005,D003,E001,24661,4835,19826,29496,
P005,D003,E002,29953,14737,15216,44690,
P005,D003,E003,28960,8729,20231,37689,
P005,D003,E004,35648,13406,22242,49054,
P005,D003,E005,,,,,S
P005,D003,E006,,,,,S
P005,D003,E007,28475,4749,23726,33224,
P005,D004,Q001,24003,10179,13824,34182,
P005,D004,Q002,16224,6940,9284,23164,
P005,D004,Q003,42631,13664,28967,56295,
P005,D004,Q004,20822,12535,8287,33357,
P005,D004,Q005,39592,17986,21606,57578,
P005,D004,Q006,34009,10715,23294,44724,
P005,D004,Q007,51043,31215,19828,82258,
P005,D004,Q008,,,,,S
P005,D004,Q009,,,,,S
P005,D004,Q010,,,,,S
P005,D004,Q011,44779,14262,30517,59041,
P005,D004,Q012,28475,4749,23726,33224,
P005,D005,L001,33614,6620,26994,40234,
P005,D005,L002,24626,23648,978,48274,
P005,D005,L003,19741,5674,14067,25415,
P005,D005,L004,28475,4749,23726,33224,
P005,D006,B001,19465,10288,9177,29753,
P005,D006,B002,31031,5514,25517,36545,
P005,D006,B003,28475,4749,23726,33224,
P005,D007,R001,43289,36561,6728,79850,
P005,D007,R002,28987,8471,20516,37458,
P005,D007,R003,41159,29677,11482,70836,
P005,D007,R004,35884,22621,13263,58505,
P005,D007,R005,,,,,S
P005,D007,R006,69122,26848,42274,95970,
P005,D007,R007,19955,8651,11304,28606,
P005,D007,R008,23044,9450,13594,32494,
P005,D007,R009,24451,23319,1132,47770,
P005,D007,R010,19194,19377,-183,38571,
P005,D007,R011,,,,,S
P005,D007,R012,,,,,S
P005,D007,R013,28475,4749,23726,33224,
P005,D008,U001,34250,26072,8178,60322,
P005,D008,U002,27537,4230,23307,31767,
P005,D008,U003,28475,4749,23726,33224,
P006,D001,G001,50962,866,50096,51828,
P006,D001,G002,37329,561,36768,37890,
P006,D001,G003,,,,,S
P006,D001,G004,44085,491,43594,44576,
P006,D002,A001,22084,845,21239,22929,
P006,D002,A002,40309,1290,39019,41599,
P006,D002,A003,44659,1286,43373,45945,
P006,D002,A004,52327,1907,50420,54234,
P006,D002,A005,54357,2533,51824,56890,
P006,D002,A006,57998,1940,56058,59938,
P006,D002,A007,56127,2699,53428,58826,
P006,D002,A008,50920,2003,48917,52923,
P006,D002,A009,44736,2122,42614,46858,
P006,D002,A010,34396,907,33489,35303,
P006,D002,A011,44085,491,43594,44576,
P006,D003,E001,46439,584,45855,47023,
P006,D003,E002,39497,1028,38469,40525,
P006,D003,E003,35890,1215,34675,37105,
P006,D003,E004,39759,1231,38528,40990,
P006,D003,E005,38754,3305,35449,42059,
P006,D003,E006,41660,5408,36252,47068,
P006,D003,E007,44085,491,43594,44576,
P006,D004,Q001,33598,795,32803,34393,
P006,D004,Q002,37322,962,36360,38284,
P006,D004,Q003,44621,1388,43233,46009,
P006,D004,Q004,45124,1344,43780,46468,
P006,D004,Q005,52858,1665,51193,54523,
P006,D004,Q006,59320,2601,56719,61921,
P006,D004,Q007,62947,3380,59567,66327,
P006,D004,Q008,68386,7706,60680,76092,
P006,D004,Q009,44042,2619,41423,46661,
P006,D004,Q010,25555,6582,18973,32137,
P006,D004,Q011,38082,3078,35004,41160,
P006,D004,Q012,44085,491,43594,44576,
P006,D005,L001,53229,677,52552,53906,
P006,D005,L002,25724,1840,23884,27564,
P006,D005,L003,24286,538,23748,24824,
P006,D005,L004,44085,491,43594,44576,
P006,D006,B001,33416,1018,32398,34434,
P006,D006,B002,45451,552,44899,46003,
P006,D006,B003,44085,491,43594,44576,
P006,D007,R001,37474,2387,35087,39861,
P006,D007,R002,47396,1404,45992,48800,
P006,D007,R003,40381,1687,38694,42068,
P006,D007,R004,41699,2548,39151,44247,
P006,D007,R005,41258,2104,39154,43362,
P006,D007,R006,42895,3003,39892,45898,
P006,D007,R007,38933,1764,37169,40697,
P006,D007,R008,51982,2162,49820,54144,
P006,D007,R009,40081,3115,36966,43196,
P006,D007,R010,42036,1488,40548,43524,
P006,D007,R011,38755,3120,35635,41875,
P006,D007,R012,41080,2681,38399,43761,
P006,D007,R013,44085,491,43594,44576,
P006,D008,U001,43599,1713,41886,45312,
P006,D008,U002,44169,538,43631,44707,
P006,D008,U003,44085,491,43594,44576,
P007,D001,G001,40615,3462,37153,44077,
P007,D001,G002,36956,3427,33529,40383,
P007,D001,G003,23583,9199,14384,32782,
P007,D001,G004,37893,2220,35673,40113,
P007,D002,A001,20555,2787,17768,23342,
P007,D002,A002,36568,4014,32554,40582,
P007,D002,A003,41571,3959,37612,45530,
P007,D002,A004,48214,7490,40724,55704,
P007,D002,A005,56972,15874,41098,72846,
P007,D002,A006,47235,9226,38009,56461,
P007,D002,A007,51207,10234,40973,61441,
P007,D002,A008,51907,8144,43763,60051,
P007,D002,A009,71882,39226,32656,111108,
P007,D002,A010,40158,11514,28644,51672,
P007,D002,A011,37893,2220,35673,40113,
P007,D003,E001,37717,2772,34945,40489,
P007,D003,E002,34823,3435,31388,38258,
P007,D003,E003,36426,6737,29689,43163,
P007,D003,E004,39596,7713,31883,47309,
P007,D003,E005,41997,12915,29082,54912,
P007,D003,E006,25942,15469,10473,41411,
P007,D003,E007,37893,2220,35673,40113,
P007,D004,Q001,30141,3308,26833,33449,
P007,D004,Q002,25884,2914,22970,28798,
P007,D004,Q003,35958,5134,30824,41092,
P007,D004,Q004,45010,8469,36541,53479,
P007,D004,Q005,46353,5853,40500,52206,
P007,D004,Q006,50507,10699,39808,61206,
P007,D004,Q007,46810,8741,38069,55551,
P007,D004,Q008,74866,39069,35797,113935,
P007,D004,Q009,52160,16908,35252,69068,
P007,D004,Q010,29253,15401,13852,44654,
P007,D004,Q011,36762,15515,21247,52277,
P007,D004,Q012,37893,2220,35673,40113,
P007,D005,L001,43936,3015,40921,46951,
P007,D005,L002,24025,5404,18621,29429,
P007,D005,L003,23257,2971,20286,26228,
P007,D005,L004,37893,2220,35673,40113,
P007,D006,B001,27739,2830,24909,30569,
P007,D006,B002,40193,2612,37581,42805,
P007,D006,B003,37893,2220,35673,40113,
P007,D007,R001,33829,11931,21898,45760,
P007,D007,R002,42566,4399,38167,46965,
P007,D007,R003,39562,4634,34928,44196,
P007,D007,R004,36480,11171,25309,47651,
P007,D007,R005,41648,13736,27912,55384,
P007,D007,R006,32780,6959,25821,39739,
P007,D007,R007,31593,4916,26677,36509,
P007,D007,R008,42853,7130,35723,49983,
P007,D007,R009,30812,7634,23178,38446,
P007,D007,R010,28591,3783,24808,32374,
P007,D007,R011,30401,9906,20495,40307,
P007,D007,R012,26415,7270,19145,33685,
P007,D007,R013,37893,2220,35673,40113,
P007,D008,U001,39345,8736,30609,48081,
P007,D008,U002,37718,2350,35368,40068,
P007,D008,U003,37893,2220,35673,40113,
